eq_type,eq_n,y,x_b,x_c,x_d,eq_latex,eq_math,eq
G,1,V,(D^2)*H,,,V=a+bD^{2}H,V=a+b*(D^2)*H,V=a+b*(D^2)*H
G,2,V,D,(D^2)*H,,V=a+bD+cD^{2}H                          ,V=a+b*D+c*(D^2)*H,V=a+b*D+c*(D^2)*H
G,3,V,D^2,((D^2)*H)^2,,V=a+bD^{2}+c\left(D^{2}H\right)^{2}     ,V=a+b*D^2+c*((D^2)*H)^2,V=a+b*D^2+c*((D^2)*H)^2
G,4,V,D,(D^2)*H,((D^2)*H)^2,V=a+bD+cD^{2}H+d\left(D^{2}H\right)^{2} ,V=a+b*D+c*(D^2)*H+d*((D^2)*H)^2,V=a+b*D+c*(D^2)*H+d*((D^2)*H)^2
G,5,V,D,H,(D^2)*H,V=a+bD+cH+dD^{2}H                       ,V=a+b*D+c*H+d*(D^2)*H,V=a+b*D+c*H+d*(D^2)*H
G,6,V,D,D^2,(D^2)*H,V=a+bD+cD^{2}+dD^{2}H                   ,V=a+b*D+c*D^2+d*(D^2)*H,V=a+b*D+c*D^2+d*(D^2)*H
G,7,log(V),log(D),log(H),,\log_{e}V=a+b\log_{e}D+c\log_{e}H       ,log(V)=a+b*log(D)+c*log(H),V=exp(a+b*log(D)+c*log(H))
G,8,V/((D^2)*H),(D^2)*H,,,\frac{V}{D^2H}=a+bD^2H                  ,V/((D^2)*H)=a+b*(D^2)*H,V=(a+b*(D^2)*H)*((D^2)*H)
G,9,V/((D^2)*H),(D^2)*H,1/((D^2)*H),,\frac{V}{D^2H}=a+bD^2H+\frac{c}{D^2H}  ,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),V=(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H)
G,10,V,D^2,H,(D^2)*H,V=a+bD^{2}+cH+dD^{2}H,V=a+b*D^2+c*H+d*((D^2)*H),V=a+b*D^2+c*H+d*((D^2)*H)
G,11,V,D^2,(D^2)*H,D*sqrt(H),V=a+bD^{2}+cD^2H+dD\sqrt{H},V=a+b*D^2+c*((D^2)*H)+d*(D*sqrt(H)),V=a+b*D^2+c*((D^2)*H)+d*(D*sqrt(H))
L,1,V,D^2,,,V=a+b*(D^2),V=a+b*D^2,V=a+b*D^2
L,2,V,D,D^2,,V=a+bD+cD^{2},V=a+b*D+c*D^2,V=a+b*D+c*D^2
L,3,V,D,D^2,D^3,V=a+bD+cD^{2}+dD^{3}              ,V=a+b*D+c*D^2+d*D^3,V=a+b*D+c*D^2+d*D^3
L,4,V,sqrt(D),D^2,,V=a+b\sqrt{D}+cD^{2},V=a+b*sqrt(D)+c*D^2,V=a+b*sqrt(D)+c*D^2
L,5,sqrt(V),D,,,\sqrt{V}=a+bD,sqrt(V)=a+b*D,V=(a+b*D)^2
L,6,sqrt(V),D,sqrt(D),,\sqrt{V}=a+bD+c\sqrt{D},sqrt(V)=a+b*D+c*sqrt(D),V=(a+b*D+c*sqrt(D))^2
L,7,V/(D^2),1/(D^2),,, \frac{V}{D^2}=a+\frac{b}{D^2},V/(D^2)=a+b/(D^2),V=(a+b/(D^2))*(D^2)
L,8,V/(D^2),1/D,1/(D^2),,\frac{V}{D^2}=a+\frac{b}{D}+\frac{c}{D^2},V/(D^2)=a+b/D+c/(D^2),V=(a+b/D+c/(D^2))*(D^2)
L,9,V/(D^2),1/(D^2),1/D,D,\frac{V}{D^2}=a+\frac{b}{D^2}+\frac{c}{D}+dD,V/(D^2)=a+b/(D^2)+c/D+d*D,V=(a+b/(D^2)+c/D+d*D)*(D^2)
L,10,log(V),log(D),,,\log_{e}V=a+b*\log_{e}D,log(V)=a+b*log(D),V=exp(a+b*log(D))
L,11,sqrt(V),D,D^2,,\sqrt{V}=a+b*D+c*(D^2),sqrt(V)=a+b*D+c*(D^2),V=(a+b*D+c*(D^2))^2
L,12,V/D,1/D,D,D^2,\frac{V}{D}=a+\frac{b}{D}+c*D+d*(D^2),V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D
